,season,PRRollman,Isolation,OffRebound,Cut,Postup,Misc,Transition,Spotup,Handoff,OffScreen,PRBallHandler
Matthew Dellavedova,2015-16,0.0,0.034,0.0,0.017,0.0,0.062,0.09,0.232,0.06,0.02,0.467
Maurice Harkless,2015-16,0.021,0.037,0.129,0.125,0.044,0.054,0.167,0.281,0.035,0.046,0.062
Metta World Peace,2015-16,0.0,0.114,0.055,0.0,0.174,0.0,0.087,0.283,0.091,0.0,0.1
Meyers Leonard,2015-16,0.264,0.0,0.041,0.072,0.058,0.094,0.068,0.354,0.0,0.024,0.0
Michael Beasley,2015-16,0.124,0.175,0.072,0.08,0.056,0.052,0.151,0.203,0.0,0.0,0.052
Michael Carter-Williams,2015-16,0.0,0.118,0.029,0.082,0.047,0.079,0.133,0.147,0.024,0.013,0.325
Michael Kidd-Gilchrist,2015-16,0.0,0.0,0.0,0.125,0.0,0.0,0.3,0.213,0.0,0.0,0.175
Mike Conley,2015-16,0.0,0.064,0.014,0.026,0.0,0.048,0.114,0.125,0.094,0.08,0.433
Mike Dunleavy,2015-16,0.0,0.0,0.0,0.114,0.0,0.048,0.154,0.281,0.118,0.171,0.057
Mike Scott,2015-16,0.188,0.0,0.056,0.152,0.081,0.036,0.159,0.282,0.0,0.0,0.0
Miles Plumlee,2015-16,0.203,0.0,0.173,0.309,0.123,0.093,0.056,0.0,0.0,0.0,0.0
Mirza Teletovic,2015-16,0.089,0.029,0.04,0.02,0.135,0.044,0.137,0.325,0.047,0.121,0.013
Mo Williams,2015-16,0.0,0.04,0.0,0.0,0.0,0.069,0.147,0.184,0.069,0.043,0.432
Monta Ellis,2015-16,0.0,0.073,0.014,0.019,0.0,0.055,0.175,0.147,0.067,0.056,0.383
Myles Turner,2015-16,0.278,0.04,0.068,0.139,0.219,0.073,0.074,0.083,0.0,0.025,0.0
Nemanja Bjelica,2015-16,0.124,0.101,0.088,0.078,0.046,0.104,0.094,0.326,0.0,0.0,0.0
Nene,2015-16,0.169,0.066,0.035,0.213,0.31,0.059,0.075,0.061,0.0,0.0,0.0
Nerlens Noel,2015-16,0.184,0.093,0.128,0.212,0.102,0.085,0.104,0.083,0.0,0.0,0.0
Nick Collison,2015-16,0.256,0.0,0.209,0.244,0.0,0.174,0.0,0.0,0.0,0.0,0.0
Nick Young,2015-16,0.0,0.07,0.0,0.0,0.0,0.035,0.145,0.289,0.072,0.177,0.166
Nicolas Batum,2015-16,0.0,0.093,0.022,0.024,0.05,0.059,0.106,0.133,0.121,0.16,0.227
Nik Stauskas,2015-16,0.0,0.042,0.016,0.023,0.0,0.033,0.179,0.389,0.093,0.07,0.155
Nikola Jokic,2015-16,0.195,0.035,0.137,0.154,0.198,0.099,0.059,0.107,0.0,0.0,0.0
Nikola Mirotic,2015-16,0.076,0.039,0.046,0.056,0.111,0.061,0.116,0.364,0.053,0.051,0.028
Nikola Pekovic,2015-16,0.159,0.0,0.0,0.0,0.522,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Vucevic,2015-16,0.184,0.072,0.095,0.096,0.283,0.052,0.051,0.134,0.009,0.015,0.009
Noah Vonleh,2015-16,0.183,0.029,0.16,0.117,0.072,0.089,0.077,0.249,0.0,0.0,0.0
Norman Powell,2015-16,0.0,0.0,0.0,0.035,0.0,0.0,0.238,0.378,0.0,0.056,0.196
Norris Cole,2015-16,0.0,0.038,0.0,0.0,0.0,0.05,0.169,0.164,0.07,0.0,0.477
O.J. Mayo,2015-16,0.0,0.039,0.0,0.029,0.024,0.095,0.178,0.263,0.11,0.088,0.151
Omer Asik,2015-16,0.213,0.0,0.235,0.348,0.0,0.139,0.0,0.0,0.0,0.0,0.0
Omri Casspi,2015-16,0.028,0.027,0.046,0.092,0.013,0.042,0.235,0.382,0.046,0.047,0.044
Otto Porter Jr.,2015-16,0.026,0.015,0.071,0.094,0.013,0.048,0.246,0.289,0.025,0.073,0.099
PJ Hairston,2015-16,0.0,0.0,0.038,0.0,0.0,0.0,0.19,0.297,0.06,0.05,0.082
PJ Tucker,2015-16,0.016,0.032,0.133,0.077,0.085,0.079,0.181,0.295,0.016,0.021,0.066
Pablo Prigioni,2015-16,0.0,0.08,0.0,0.0,0.0,0.095,0.126,0.186,0.0,0.0,0.442
Patrick Beverley,2015-16,0.019,0.08,0.034,0.0,0.0,0.067,0.201,0.365,0.026,0.0,0.19
Patrick Patterson,2015-16,0.142,0.0,0.086,0.026,0.024,0.07,0.103,0.528,0.0,0.0,0.0
Patty Mills,2015-16,0.0,0.023,0.0,0.049,0.0,0.051,0.136,0.243,0.077,0.122,0.284
Pau Gasol,2015-16,0.212,0.058,0.087,0.072,0.207,0.089,0.05,0.202,0.0,0.017,0.0
Paul George,2015-16,0.011,0.14,0.02,0.037,0.034,0.059,0.162,0.112,0.053,0.16,0.212
Paul Millsap,2015-16,0.18,0.079,0.058,0.117,0.16,0.048,0.109,0.194,0.009,0.032,0.015
Paul Pierce,2015-16,0.163,0.079,0.0,0.0,0.064,0.039,0.136,0.395,0.0,0.064,0.021
Phil Pressey,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.163,0.0,0.0,0.35
Quincy Acy,2015-16,0.141,0.0,0.13,0.181,0.0,0.089,0.133,0.267,0.0,0.0,0.0
Rajon Rondo,2015-16,0.0,0.074,0.025,0.038,0.0,0.089,0.198,0.154,0.024,0.0,0.393
Ramon Sessions,2015-16,0.0,0.036,0.0,0.052,0.0,0.051,0.259,0.177,0.035,0.03,0.351
Randy Foye,2015-16,0.0,0.074,0.0,0.0,0.0,0.049,0.154,0.394,0.064,0.039,0.213
Rashad Vaughn,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.465,0.047,0.133,0.073
Raul Neto,2015-16,0.0,0.056,0.0,0.022,0.0,0.052,0.14,0.332,0.102,0.0,0.278
Ray McCallum,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.138,0.128,0.106,0.33
Raymond Felton,2015-16,0.0,0.102,0.0,0.018,0.0,0.066,0.086,0.223,0.026,0.023,0.45
Reggie Bullock,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.464,0.098,0.0,0.0
Reggie Jackson,2015-16,0.0,0.114,0.013,0.011,0.0,0.055,0.132,0.082,0.021,0.012,0.559
Richard Jefferson,2015-16,0.0,0.041,0.0,0.054,0.0,0.051,0.164,0.477,0.079,0.049,0.064
Richaun Holmes,2015-16,0.213,0.0,0.136,0.262,0.042,0.073,0.084,0.143,0.0,0.0,0.0
Ricky Rubio,2015-16,0.0,0.039,0.0,0.011,0.0,0.073,0.185,0.226,0.04,0.0,0.407
Robert Covington,2015-16,0.055,0.041,0.039,0.035,0.0,0.08,0.2,0.372,0.081,0.049,0.045
Robert Sacre,2015-16,0.236,0.0,0.17,0.142,0.179,0.142,0.0,0.104,0.0,0.0,0.0
Robin Lopez,2015-16,0.13,0.015,0.225,0.186,0.292,0.086,0.025,0.038,0.0,0.0,0.0
Rodney Hood,2015-16,0.0,0.087,0.016,0.02,0.024,0.04,0.078,0.285,0.111,0.041,0.293
Rodney Stuckey,2015-16,0.0,0.057,0.0,0.033,0.0,0.055,0.216,0.163,0.087,0.046,0.315
Rondae Hollis-Jefferson,2015-16,0.0,0.058,0.095,0.085,0.0,0.058,0.222,0.238,0.0,0.0,0.111
Ronnie Price,2015-16,0.0,0.096,0.0,0.0,0.0,0.065,0.173,0.326,0.08,0.028,0.202
Roy Hibbert,2015-16,0.17,0.0,0.125,0.118,0.293,0.112,0.033,0.121,0.0,0.0,0.0
Rudy Gay,2015-16,0.049,0.154,0.064,0.06,0.105,0.038,0.183,0.195,0.022,0.059,0.07
Rudy Gobert,2015-16,0.175,0.018,0.233,0.292,0.04,0.153,0.066,0.021,0.0,0.0,0.0
Russell Westbrook,2015-16,0.0,0.125,0.03,0.019,0.093,0.044,0.233,0.069,0.023,0.01,0.354
Ryan Anderson,2015-16,0.151,0.092,0.094,0.026,0.175,0.038,0.083,0.201,0.013,0.102,0.023
Ryan Hollins,2015-16,0.143,0.0,0.186,0.3,0.0,0.143,0.0,0.0,0.0,0.0,0.0
Ryan Kelly,2015-16,0.109,0.067,0.078,0.052,0.093,0.067,0.14,0.316,0.0,0.0,0.0
Salah Mejri,2015-16,0.234,0.0,0.113,0.387,0.0,0.113,0.0,0.0,0.0,0.0,0.0
Sasha Vujacic,2015-16,0.0,0.0,0.0,0.0,0.0,0.062,0.148,0.349,0.118,0.163,0.107
Sean Kilpatrick,2015-16,0.0,0.036,0.0,0.066,0.0,0.036,0.215,0.414,0.036,0.083,0.192
Serge Ibaka,2015-16,0.269,0.017,0.069,0.1,0.03,0.067,0.124,0.298,0.0,0.02,0.0
Seth Curry,2015-16,0.0,0.046,0.0,0.0,0.0,0.046,0.174,0.27,0.046,0.11,0.278
Shabazz Muhammad,2015-16,0.0,0.052,0.094,0.091,0.099,0.038,0.202,0.207,0.042,0.105,0.069
Shabazz Napier,2015-16,0.0,0.072,0.0,0.0,0.0,0.0,0.147,0.257,0.049,0.0,0.404
Shane Larkin,2015-16,0.0,0.062,0.0,0.053,0.0,0.068,0.141,0.124,0.063,0.0,0.47
Shaun Livingston,2015-16,0.0,0.069,0.036,0.177,0.192,0.095,0.151,0.091,0.04,0.0,0.127
Shelvin Mack,2015-16,0.0,0.069,0.0,0.0,0.0,0.055,0.135,0.238,0.116,0.0,0.356
Solomon Hill,2015-16,0.05,0.065,0.069,0.104,0.0,0.069,0.212,0.288,0.0,0.05,0.05
Sonny Weems,2015-16,0.0,0.0,0.0,0.098,0.0,0.0,0.144,0.25,0.114,0.0,0.22
Spencer Dinwiddie,2015-16,0.0,0.184,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.461
Spencer Hawes,2015-16,0.181,0.031,0.074,0.127,0.137,0.099,0.048,0.285,0.0,0.0,0.0
Stanley Johnson,2015-16,0.0,0.092,0.045,0.021,0.043,0.04,0.187,0.257,0.067,0.024,0.217
Stephen Curry,2015-16,0.007,0.1,0.016,0.06,0.0,0.073,0.201,0.091,0.047,0.142,0.262
Steve Blake,2015-16,0.0,0.03,0.0,0.0,0.0,0.118,0.085,0.236,0.064,0.036,0.415
Steven Adams,2015-16,0.247,0.0,0.195,0.294,0.073,0.117,0.07,0.0,0.0,0.0,0.0
T.J. McConnell,2015-16,0.0,0.069,0.021,0.026,0.0,0.064,0.131,0.125,0.074,0.03,0.46
T.J. Warren,2015-16,0.0,0.042,0.089,0.091,0.0,0.042,0.235,0.223,0.044,0.109,0.103
Taj Gibson,2015-16,0.12,0.017,0.186,0.261,0.243,0.064,0.045,0.058,0.0,0.0,0.0
Tarik Black,2015-16,0.289,0.0,0.201,0.168,0.101,0.121,0.0,0.0,0.0,0.0,0.0
Tayshaun Prince,2015-16,0.038,0.0,0.0,0.086,0.079,0.053,0.135,0.436,0.0,0.0,0.079
Terrence Jones,2015-16,0.12,0.058,0.088,0.148,0.079,0.079,0.167,0.233,0.0,0.0,0.0
Terrence Ross,2015-16,0.0,0.06,0.0,0.0,0.0,0.027,0.138,0.343,0.055,0.237,0.118
Thabo Sefolosha,2015-16,0.0,0.0,0.043,0.137,0.0,0.072,0.259,0.292,0.039,0.033,0.091
Thaddeus Young,2015-16,0.181,0.084,0.088,0.159,0.159,0.038,0.161,0.093,0.0,0.012,0.021
Thomas Robinson,2015-16,0.263,0.067,0.246,0.119,0.05,0.092,0.092,0.06,0.0,0.0,0.0
Tiago Splitter,2015-16,0.159,0.0,0.149,0.383,0.134,0.07,0.05,0.0,0.0,0.0,0.0
Tim Duncan,2015-16,0.242,0.0,0.082,0.18,0.259,0.113,0.045,0.053,0.0,0.0,0.0
Tim Frazier,2015-16,0.0,0.134,0.0,0.0,0.0,0.043,0.172,0.108,0.0,0.0,0.448
Tim Hardaway Jr.,2015-16,0.0,0.0,0.0,0.0,0.0,0.039,0.269,0.356,0.074,0.12,0.084
Timofey Mozgov,2015-16,0.168,0.0,0.087,0.323,0.18,0.064,0.072,0.1,0.0,0.0,0.0
Tobias Harris,2015-16,0.063,0.108,0.043,0.031,0.084,0.024,0.12,0.267,0.031,0.024,0.087
Toney Douglas,2015-16,0.0,0.069,0.0,0.031,0.0,0.06,0.173,0.195,0.074,0.0,0.372
Tony Allen,2015-16,0.0,0.047,0.11,0.173,0.025,0.073,0.236,0.233,0.03,0.0,0.052
Tony Parker,2015-16,0.0,0.055,0.0,0.027,0.0,0.041,0.125,0.12,0.048,0.07,0.51
Tony Snell,2015-16,0.0,0.071,0.027,0.039,0.0,0.057,0.167,0.335,0.099,0.03,0.17
Tony Wroten,2015-16,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.161,0.0,0.0,0.33
Trevor Ariza,2015-16,0.013,0.038,0.031,0.035,0.0,0.043,0.24,0.403,0.039,0.084,0.071
Trevor Booker,2015-16,0.161,0.019,0.194,0.182,0.033,0.102,0.129,0.169,0.0,0.0,0.0
Trey Burke,2015-16,0.0,0.068,0.0,0.0,0.0,0.04,0.122,0.241,0.134,0.033,0.347
Trey Lyles,2015-16,0.158,0.041,0.058,0.108,0.022,0.041,0.096,0.432,0.0,0.02,0.0
Tristan Thompson,2015-16,0.21,0.0,0.235,0.283,0.058,0.112,0.073,0.025,0.0,0.0,0.0
Troy Daniels,2015-16,0.0,0.0,0.0,0.0,0.0,0.051,0.098,0.372,0.102,0.242,0.084
Ty Lawson,2015-16,0.0,0.079,0.0,0.0,0.0,0.064,0.205,0.157,0.037,0.0,0.361
Tyler Ennis,2015-16,0.0,0.069,0.0,0.0,0.0,0.073,0.15,0.198,0.049,0.0,0.401
Tyler Johnson,2015-16,0.0,0.05,0.035,0.038,0.0,0.079,0.114,0.268,0.095,0.044,0.278
Tyler Zeller,2015-16,0.345,0.0,0.107,0.167,0.063,0.084,0.104,0.097,0.0,0.029,0.0
Tyreke Evans,2015-16,0.0,0.174,0.023,0.0,0.0,0.054,0.146,0.113,0.068,0.0,0.39
Tyson Chandler,2015-16,0.18,0.0,0.215,0.267,0.083,0.151,0.05,0.041,0.0,0.0,0.0
Tyus Jones,2015-16,0.0,0.079,0.0,0.0,0.0,0.074,0.173,0.183,0.0,0.0,0.406
Victor Oladipo,2015-16,0.0,0.073,0.019,0.046,0.0,0.047,0.179,0.175,0.086,0.046,0.325
Vince Carter,2015-16,0.0,0.049,0.049,0.041,0.083,0.068,0.095,0.283,0.078,0.08,0.163
Wayne Ellington,2015-16,0.0,0.024,0.016,0.041,0.0,0.04,0.16,0.319,0.071,0.148,0.178
Wesley Johnson,2015-16,0.058,0.019,0.022,0.055,0.0,0.053,0.207,0.415,0.085,0.06,0.021
Wesley Matthews,2015-16,0.013,0.058,0.011,0.027,0.099,0.044,0.109,0.362,0.066,0.119,0.092
Will Barton,2015-16,0.0,0.074,0.033,0.04,0.008,0.054,0.223,0.226,0.07,0.032,0.24
Willie Cauley-Stein,2015-16,0.142,0.029,0.189,0.286,0.056,0.068,0.182,0.045,0.0,0.0,0.0
Willie Reed,2015-16,0.253,0.0,0.224,0.31,0.086,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Munford,2015-16,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.216,0.0,0.0,0.392
Zach LaVine,2015-16,0.0,0.082,0.014,0.019,0.0,0.054,0.215,0.141,0.107,0.073,0.291
Zach Randolph,2015-16,0.097,0.158,0.117,0.062,0.362,0.054,0.031,0.1,0.0,0.013,0.0
Zaza Pachulia,2015-16,0.179,0.056,0.151,0.314,0.042,0.116,0.041,0.091,0.0,0.0,0.0
Aaron Brooks,2016-17,0.0,0.11,0.0,0.0,0.0,0.055,0.102,0.188,0.05,0.037,0.441
Aaron Gordon,2016-17,0.045,0.068,0.08,0.075,0.074,0.039,0.199,0.222,0.049,0.038,0.111
Al Horford,2016-17,0.244,0.04,0.034,0.067,0.282,0.052,0.05,0.184,0.0,0.035,0.0
Al Jefferson,2016-17,0.224,0.018,0.094,0.122,0.462,0.039,0.018,0.018,0.0,0.0,0.0
Al-Farouq Aminu,2016-17,0.075,0.049,0.068,0.08,0.016,0.054,0.141,0.459,0.028,0.0,0.023
Alan Anderson,2016-17,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.117
Alan Williams,2016-17,0.237,0.0,0.181,0.209,0.169,0.093,0.096,0.0,0.0,0.0,0.0
Alec Burks,2016-17,0.0,0.083,0.035,0.035,0.0,0.041,0.153,0.229,0.07,0.054,0.299
Alex Abrines,2016-17,0.0,0.0,0.025,0.0,0.0,0.069,0.165,0.439,0.066,0.119,0.063
Alex Len,2016-17,0.183,0.023,0.16,0.177,0.195,0.119,0.068,0.058,0.0,0.0,0.0
Alex Poythress,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.393,0.0,0.0,0.0
Alexis Ajinca,2016-17,0.254,0.0,0.101,0.289,0.053,0.096,0.07,0.11,0.0,0.0,0.0
Allen Crabbe,2016-17,0.017,0.016,0.0,0.051,0.0,0.028,0.166,0.353,0.096,0.22,0.045
Amir Johnson,2016-17,0.166,0.026,0.126,0.285,0.067,0.103,0.093,0.128,0.0,0.0,0.0
Andre Drummond,2016-17,0.122,0.035,0.231,0.153,0.275,0.09,0.081,0.012,0.0,0.0,0.0
Andre Iguodala,2016-17,0.0,0.06,0.029,0.121,0.029,0.092,0.246,0.315,0.023,0.033,0.044
Andre Roberson,2016-17,0.02,0.0,0.096,0.181,0.0,0.073,0.225,0.317,0.039,0.0,0.035
Andrew Bogut,2016-17,0.117,0.0,0.227,0.203,0.094,0.336,0.0,0.0,0.0,0.0,0.0
Andrew Harrison,2016-17,0.0,0.119,0.0,0.026,0.0,0.073,0.117,0.21,0.024,0.022,0.393
Andrew Wiggins,2016-17,0.013,0.1,0.033,0.046,0.113,0.034,0.107,0.129,0.061,0.044,0.321
Anthony Bennett,2016-17,0.133,0.0,0.142,0.1,0.0,0.0,0.108,0.342,0.0,0.0,0.0
Anthony Brown,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.37,0.0,0.0,0.0
Anthony Davis,2016-17,0.245,0.097,0.066,0.065,0.155,0.05,0.093,0.124,0.023,0.072,0.01
Anthony Morrow,2016-17,0.0,0.0,0.0,0.0,0.0,0.054,0.154,0.465,0.104,0.075,0.041
Anthony Tolliver,2016-17,0.108,0.0,0.041,0.077,0.038,0.088,0.106,0.479,0.0,0.041,0.0
Archie Goodwin,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.27,0.0,0.0,0.303
Aron Baynes,2016-17,0.239,0.0,0.221,0.207,0.125,0.109,0.061,0.037,0.0,0.0,0.0
Arron Afflalo,2016-17,0.0,0.082,0.0,0.044,0.116,0.054,0.102,0.326,0.052,0.132,0.08
Austin Rivers,2016-17,0.0,0.194,0.0,0.019,0.0,0.034,0.131,0.197,0.071,0.013,0.335
Avery Bradley,2016-17,0.0,0.051,0.044,0.09,0.0,0.044,0.13,0.167,0.145,0.131,0.192
Ben McLemore,2016-17,0.0,0.025,0.019,0.069,0.0,0.06,0.179,0.265,0.071,0.171,0.129
Beno Udrih,2016-17,0.0,0.0,0.0,0.0,0.0,0.061,0.086,0.11,0.073,0.0,0.608
Bismack Biyombo,2016-17,0.25,0.0,0.138,0.308,0.087,0.131,0.072,0.0,0.0,0.0,0.0
Blake Griffin,2016-17,0.148,0.107,0.051,0.061,0.188,0.044,0.141,0.155,0.0,0.026,0.072
Bobby Portis,2016-17,0.139,0.03,0.118,0.075,0.091,0.059,0.105,0.358,0.0,0.0,0.0
Bojan Bogdanovic,2016-17,0.0,0.059,0.019,0.049,0.013,0.043,0.171,0.214,0.083,0.105,0.109
Boris Diaw,2016-17,0.109,0.049,0.042,0.063,0.176,0.063,0.06,0.352,0.0,0.0,0.058
Bradley Beal,2016-17,0.0,0.083,0.016,0.039,0.006,0.047,0.172,0.136,0.048,0.224,0.225
Brandan Wright,2016-17,0.333,0.0,0.088,0.308,0.063,0.0,0.082,0.0,0.0,0.0,0.0
Brandon Bass,2016-17,0.257,0.051,0.123,0.13,0.213,0.051,0.091,0.083,0.0,0.0,0.0
Brandon Ingram,2016-17,0.0,0.147,0.031,0.048,0.069,0.049,0.138,0.22,0.051,0.023,0.215
Brandon Jennings,2016-17,0.0,0.082,0.0,0.019,0.0,0.075,0.284,0.127,0.042,0.0,0.336
Brandon Knight,2016-17,0.0,0.099,0.015,0.016,0.0,0.047,0.171,0.143,0.05,0.028,0.433
Brandon Rush,2016-17,0.0,0.0,0.0,0.0,0.0,0.058,0.206,0.552,0.045,0.054,0.0
Brian Roberts,2016-17,0.0,0.115,0.0,0.0,0.0,0.0,0.091,0.2,0.073,0.0,0.376
Briante Weber,2016-17,0.0,0.0,0.0,0.175,0.0,0.0,0.175,0.0,0.0,0.0,0.298
Brook Lopez,2016-17,0.167,0.06,0.06,0.06,0.27,0.048,0.063,0.209,0.016,0.043,0.0
Buddy Hield,2016-17,0.0,0.055,0.0,0.021,0.0,0.027,0.218,0.185,0.084,0.083,0.182
C.J. Watson,2016-17,0.0,0.062,0.0,0.053,0.0,0.071,0.238,0.214,0.056,0.074,0.211
CJ McCollum,2016-17,0.0,0.098,0.012,0.026,0.0,0.04,0.13,0.13,0.092,0.117,0.35
CJ Miles,2016-17,0.034,0.0,0.027,0.02,0.0,0.041,0.163,0.328,0.071,0.26,0.036
Cameron Payne,2016-17,0.0,0.074,0.0,0.0,0.0,0.0,0.128,0.359,0.0,0.0,0.295
Caris LeVert,2016-17,0.0,0.081,0.0,0.029,0.0,0.035,0.225,0.308,0.067,0.042,0.202
Carmelo Anthony,2016-17,0.025,0.231,0.029,0.024,0.167,0.042,0.077,0.152,0.03,0.056,0.168
Chandler Parsons,2016-17,0.0,0.06,0.0,0.0,0.064,0.038,0.117,0.332,0.06,0.094,0.181
Channing Frye,2016-17,0.173,0.017,0.035,0.061,0.078,0.064,0.102,0.398,0.0,0.063,0.0
Chasson Randle,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.208,0.0,0.0,0.297
Cheick Diallo,2016-17,0.141,0.0,0.163,0.141,0.141,0.0,0.0,0.141,0.0,0.0,0.0
Chris Paul,2016-17,0.0,0.175,0.0,0.0,0.03,0.076,0.14,0.09,0.027,0.0,0.447
Clint Capela,2016-17,0.28,0.022,0.144,0.299,0.033,0.071,0.136,0.0,0.0,0.0,0.0
Cody Zeller,2016-17,0.331,0.025,0.092,0.212,0.017,0.1,0.088,0.093,0.0,0.025,0.0
Corey Brewer,2016-17,0.0,0.0,0.0,0.101,0.0,0.047,0.284,0.272,0.076,0.0,0.113
Cory Joseph,2016-17,0.0,0.084,0.017,0.0,0.0,0.048,0.122,0.221,0.021,0.024,0.451
Courtney Lee,2016-17,0.0,0.076,0.027,0.028,0.0,0.038,0.167,0.289,0.097,0.117,0.156
Cristiano Felicio,2016-17,0.276,0.0,0.269,0.156,0.044,0.068,0.082,0.092,0.0,0.0,0.0
D'Angelo Russell,2016-17,0.0,0.078,0.011,0.023,0.048,0.06,0.123,0.115,0.091,0.052,0.396
D.J. Augustin,2016-17,0.0,0.046,0.0,0.0,0.0,0.056,0.146,0.183,0.075,0.075,0.4
Damian Lillard,2016-17,0.0,0.158,0.011,0.036,0.0,0.038,0.094,0.066,0.095,0.065,0.434
Danilo Gallinari,2016-17,0.033,0.128,0.021,0.053,0.115,0.024,0.131,0.264,0.08,0.043,0.106
Danny Green,2016-17,0.0,0.0,0.037,0.022,0.0,0.067,0.207,0.458,0.047,0.086,0.065
Dante Cunningham,2016-17,0.047,0.0,0.074,0.146,0.0,0.037,0.176,0.481,0.0,0.0,0.0
Dante Exum,2016-17,0.0,0.071,0.031,0.048,0.0,0.038,0.152,0.329,0.04,0.035,0.252
Dario Saric,2016-17,0.094,0.111,0.059,0.063,0.084,0.048,0.151,0.272,0.017,0.051,0.051
Darrell Arthur,2016-17,0.263,0.0,0.039,0.039,0.0,0.067,0.114,0.396,0.0,0.0,0.0
Darren Collison,2016-17,0.0,0.089,0.0,0.043,0.0,0.052,0.171,0.168,0.072,0.037,0.359
David Lee,2016-17,0.173,0.053,0.162,0.231,0.133,0.066,0.095,0.073,0.0,0.0,0.0
David Nwaba,2016-17,0.0,0.0,0.11,0.138,0.0,0.0,0.284,0.193,0.0,0.0,0.0
David West,2016-17,0.157,0.0,0.048,0.157,0.233,0.096,0.067,0.174,0.0,0.034,0.0
Davis Bertans,2016-17,0.086,0.0,0.0,0.047,0.0,0.072,0.147,0.493,0.0,0.079,0.0
DeAndre Jordan,2016-17,0.195,0.0,0.248,0.217,0.106,0.158,0.067,0.0,0.0,0.0,0.0
DeAndre Liggins,2016-17,0.0,0.057,0.0,0.067,0.0,0.078,0.249,0.358,0.0,0.0,0.119
DeMar DeRozan,2016-17,0.0,0.171,0.017,0.008,0.09,0.026,0.088,0.069,0.049,0.072,0.409
DeMarcus Cousins,2016-17,0.149,0.164,0.064,0.031,0.218,0.055,0.078,0.18,0.01,0.024,0.031
DeMarre Carroll,2016-17,0.0,0.036,0.05,0.055,0.0,0.043,0.261,0.432,0.0,0.055,0.044
Delon Wright,2016-17,0.0,0.084,0.0,0.0,0.0,0.0,0.181,0.127,0.0,0.0,0.47
Dennis Schroder,2016-17,0.0,0.111,0.008,0.011,0.0,0.06,0.111,0.102,0.045,0.045,0.505
Denzel Valentine,2016-17,0.0,0.0,0.0,0.0,0.0,0.038,0.207,0.382,0.131,0.029,0.163
Deron Williams,2016-17,0.0,0.138,0.0,0.022,0.05,0.064,0.102,0.133,0.045,0.124,0.423
Derrick Favors,2016-17,0.256,0.0,0.099,0.24,0.177,0.046,0.027,0.118,0.0,0.0,0.0
Derrick Jones Jr.,2016-17,0.0,0.0,0.176,0.216,0.0,0.0,0.301,0.118,0.0,0.0,0.0
Derrick Rose,2016-17,0.0,0.117,0.026,0.045,0.0,0.048,0.17,0.123,0.045,0.031,0.389
Derrick Williams,2016-17,0.191,0.0,0.064,0.108,0.0,0.0,0.133,0.306,0.0,0.0,0.0
Devin Booker,2016-17,0.0,0.13,0.016,0.019,0.054,0.043,0.202,0.101,0.047,0.119,0.267
Devin Harris,2016-17,0.0,0.073,0.0,0.055,0.0,0.073,0.202,0.288,0.044,0.077,0.18
Dewayne Dedmon,2016-17,0.267,0.0,0.214,0.279,0.036,0.103,0.07,0.0,0.0,0.0,0.0
Dion Waiters,2016-17,0.0,0.217,0.0,0.0,0.0,0.033,0.148,0.208,0.052,0.045,0.279
Dirk Nowitzki,2016-17,0.28,0.036,0.02,0.026,0.213,0.038,0.073,0.247,0.0,0.053,0.0
Domantas Sabonis,2016-17,0.217,0.022,0.037,0.096,0.159,0.037,0.132,0.288,0.0,0.0,0.0
Donatas Motiejunas,2016-17,0.201,0.0,0.069,0.185,0.111,0.106,0.106,0.212,0.0,0.0,0.0
Dorian Finney-Smith,2016-17,0.0,0.029,0.052,0.071,0.0,0.069,0.13,0.521,0.0,0.044,0.047
Doug McDermott,2016-17,0.0,0.0,0.0,0.073,0.044,0.042,0.139,0.365,0.168,0.131,0.032
Dragan Bender,2016-17,0.056,0.0,0.077,0.0,0.0,0.062,0.159,0.441,0.0,0.0,0.0
Draymond Green,2016-17,0.088,0.027,0.06,0.111,0.075,0.106,0.186,0.252,0.0,0.035,0.05
Dwight Howard,2016-17,0.101,0.011,0.219,0.21,0.28,0.104,0.046,0.028,0.0,0.0,0.0
Dwight Powell,2016-17,0.385,0.021,0.044,0.207,0.0,0.074,0.063,0.144,0.0,0.049,0.0
Dwyane Wade,2016-17,0.0,0.12,0.03,0.031,0.107,0.036,0.154,0.099,0.048,0.039,0.33
E'Twaun Moore,2016-17,0.0,0.041,0.022,0.029,0.017,0.046,0.192,0.287,0.049,0.112,0.206
